@relation 'adult-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.instance.RemovePercentage-P25.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R2,8-9,11,13'

@attribute age numeric
@attribute education {Bachelors,Some-college,11th,HS-grad,Prof-school,Assoc-acdm,Assoc-voc,9th,7th-8th,12th,Masters,1st-4th,10th,Doctorate,5th-6th,Preschool}
@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute occupation {Tech-support,Craft-repair,Other-service,Sales,Exec-managerial,Prof-specialty,Handlers-cleaners,Machine-op-inspct,Adm-clerical,Farming-fishing,Transport-moving,Priv-house-serv,Protective-serv,Armed-Forces}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute capital-gain numeric
@attribute hours-per-week numeric
@attribute class {>50K,<=50K}

@data
0.438356,Bachelors,0.8,Married-civ-spouse,Protective-serv,Husband,0,0.418367,>50K
0.205479,10th,0.333333,Married-civ-spouse,Craft-repair,Husband,0,0.397959,<=50K
0.041096,HS-grad,0.533333,Never-married,Exec-managerial,Own-child,0,0.397959,<=50K
0.369863,Some-college,0.6,Divorced,Machine-op-inspct,Not-in-family,0.03325,0.397959,<=50K
0.342466,Bachelors,0.8,Divorced,Exec-managerial,Not-in-family,0,0.5,>50K
0.232877,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,0,0.397959,<=50K
0.273973,HS-grad,0.533333,Married-civ-spouse,Protective-serv,Husband,0,0.397959,>50K
0.068493,Some-college,0.6,Never-married,Handlers-cleaners,Not-in-family,0,0.397959,<=50K
0.054795,Some-college,0.6,Never-married,?,Own-child,0,0.193878,<=50K
0.219178,HS-grad,0.533333,Separated,Adm-clerical,Not-in-family,0,0.367347,<=50K
0.506849,HS-grad,0.533333,Married-civ-spouse,Adm-clerical,Husband,0.04386,0.408163,>50K
0.260274,Bachelors,0.8,Married-civ-spouse,Sales,Husband,0,0.5,>50K
0.260274,HS-grad,0.533333,Divorced,Adm-clerical,Unmarried,0,0.397959,<=50K
0.369863,Assoc-acdm,0.733333,Married-civ-spouse,Exec-managerial,Husband,0,0.5,>50K
0.438356,Bachelors,0.8,Divorced,Sales,Not-in-family,0,0.5,>50K
0.315068,HS-grad,0.533333,Married-civ-spouse,Transport-moving,Husband,0,0.397959,<=50K
0.438356,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,0,0.397959,>50K
0.191781,HS-grad,0.533333,Never-married,Other-service,Not-in-family,0,0.265306,<=50K
0.876712,Some-college,0.6,Married-civ-spouse,Tech-support,Husband,0,0.244898,<=50K
0.315068,HS-grad,0.533333,Divorced,Machine-op-inspct,Own-child,0,0.397959,<=50K
0.410959,Some-college,0.6,Married-civ-spouse,Other-service,Husband,0,0.091837,<=50K
0.30137,HS-grad,0.533333,Married-civ-spouse,Transport-moving,Husband,0,0.5,>50K
0.342466,HS-grad,0.533333,Married-civ-spouse,Handlers-cleaners,Husband,0,0.397959,<=50K
0.164384,7th-8th,0.2,Married-civ-spouse,Craft-repair,Husband,0,0.397959,>50K
0.315068,HS-grad,0.533333,Married-civ-spouse,Exec-managerial,Husband,0,0.479592,<=50K
0.150685,Bachelors,0.8,Married-civ-spouse,Prof-specialty,Wife,0.04386,0.193878,>50K
0.027397,HS-grad,0.533333,Never-married,?,Own-child,0,0.397959,<=50K
0.205479,Assoc-voc,0.666667,Divorced,Exec-managerial,Not-in-family,0,0.428571,<=50K
0.246575,Some-college,0.6,Married-civ-spouse,Exec-managerial,Husband,0,0.602041,<=50K
0.246575,Assoc-acdm,0.733333,Married-civ-spouse,?,Husband,0,0.142857,<=50K
0.479452,Masters,0.866667,Divorced,Prof-specialty,Not-in-family,0,0.397959,<=50K
0,12th,0.466667,Never-married,Other-service,Own-child,0,0.234694,<=50K
0.082192,HS-grad,0.533333,Never-married,Adm-clerical,Unmarried,0,0.397959,<=50K
0.808219,7th-8th,0.2,Married-civ-spouse,Other-service,Husband,0,0.44898,<=50K
0.328767,Doctorate,1,Never-married,Prof-specialty,Not-in-family,0,0.295918,<=50K
0.39726,HS-grad,0.533333,Divorced,Exec-managerial,Unmarried,0,0.55102,<=50K
0.438356,Bachelors,0.8,Married-civ-spouse,Sales,Husband,0,0.602041,>50K
0.589041,HS-grad,0.533333,Married-spouse-absent,Handlers-cleaners,Not-in-family,0,0.397959,<=50K
0.657534,HS-grad,0.533333,Married-civ-spouse,?,Husband,0,0.397959,<=50K
0.616438,HS-grad,0.533333,Never-married,Adm-clerical,Not-in-family,0,0.367347,<=50K
0.39726,Assoc-acdm,0.733333,Married-civ-spouse,Prof-specialty,Husband,0,0.397959,>50K
0.452055,HS-grad,0.533333,Married-spouse-absent,Transport-moving,Not-in-family,0,0.44898,<=50K
0.30137,Assoc-voc,0.666667,Separated,Adm-clerical,Own-child,0.00594,0.397959,<=50K
0.041096,Some-college,0.6,Never-married,Other-service,Own-child,0,0.295918,<=50K
0.287671,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,0,0.5,<=50K
0.534247,HS-grad,0.533333,Divorced,Handlers-cleaners,Unmarried,0,0.091837,<=50K
0.178082,Assoc-voc,0.666667,Separated,Sales,Not-in-family,0,0.397959,<=50K
0.328767,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,0,0.397959,>50K
0.164384,Bachelors,0.8,Never-married,Craft-repair,Not-in-family,0,0.397959,<=50K
0.356164,Bachelors,0.8,Married-civ-spouse,Handlers-cleaners,Husband,0,0.602041,<=50K
0.150685,Bachelors,0.8,Married-civ-spouse,Sales,Husband,0,0.44898,<=50K
0.178082,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,0,0.346939,>50K
0.027397,HS-grad,0.533333,Never-married,Machine-op-inspct,Own-child,0,0.295918,<=50K
0.534247,Some-college,0.6,Married-civ-spouse,Craft-repair,Husband,0,0.336735,<=50K
0.150685,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,0,0.346939,<=50K
0.082192,Bachelors,0.8,Never-married,Craft-repair,Not-in-family,0,0.346939,<=50K
0.232877,Assoc-acdm,0.733333,Married-civ-spouse,Exec-managerial,Husband,0,0.602041,>50K
0.356164,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,0,0.397959,>50K
0.589041,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,0,0.193878,<=50K
0.356164,Some-college,0.6,Married-civ-spouse,Protective-serv,Husband,0,0.397959,<=50K
0.589041,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Wife,0,0.397959,<=50K
0.342466,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,0,0.857143,<=50K
0.205479,Some-college,0.6,Divorced,Protective-serv,Not-in-family,0,0.397959,<=50K
0.191781,Some-college,0.6,Married-civ-spouse,Tech-support,Husband,0,0.397959,>50K
0.109589,HS-grad,0.533333,Never-married,Farming-fishing,Not-in-family,0,0.357143,<=50K
0.109589,12th,0.466667,Married-civ-spouse,Other-service,Husband,0.03103,0.397959,<=50K
0.328767,Assoc-acdm,0.733333,Married-civ-spouse,Farming-fishing,Husband,0,0.5,>50K
0.123288,Some-college,0.6,Never-married,Other-service,Not-in-family,0,0.397959,<=50K
0.383562,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,0.076881,0.653061,>50K
0.246575,HS-grad,0.533333,Married-civ-spouse,Craft-repair,Husband,0,0.44898,>50K
0.054795,9th,0.266667,Never-married,Other-service,Other-relative,0,0.397959,<=50K
0.30137,HS-grad,0.533333,Married-civ-spouse,Tech-support,Husband,0,0.397959,>50K
0.068493,Bachelors,0.8,Never-married,Exec-managerial,Own-child,0,0.44898,<=50K
0.671233,Bachelors,0.8,Married-civ-spouse,Craft-repair,Husband,0.0229,0.397959,<=50K
0.205479,Some-college,0.6,Divorced,Adm-clerical,Unmarried,0,0.397959,<=50K
0.30137,10th,0.333333,Married-civ-spouse,Craft-repair,Husband,0,0.397959,<=50K
0.328767,Some-college,0.6,Married-civ-spouse,Farming-fishing,Husband,0,0.5,<=50K
0.123288,HS-grad,0.533333,Never-married,?,Not-in-family,0,0.397959,<=50K
0.191781,Some-college,0.6,Divorced,Adm-clerical,Unmarried,0,0.397959,<=50K
0.136986,11th,0.4,Never-married,Other-service,Own-child,0,0.397959,<=50K
0.232877,Bachelors,0.8,Married-civ-spouse,Exec-managerial,Husband,0,0.44898,>50K
0.356164,Masters,0.866667,Married-civ-spouse,Exec-managerial,Husband,0,0.5,>50K
0.534247,HS-grad,0.533333,Never-married,Adm-clerical,Own-child,0,0.346939,<=50K
