@relation wine-weka.filters.unsupervised.attribute.Standardize

@attribute class {1,2,3}
@attribute Alcohol numeric
@attribute Malic_acid numeric
@attribute Ash numeric
@attribute Alcalinity_of_ash numeric
@attribute Magnesium numeric
@attribute Total_phenols numeric
@attribute Flavanoids numeric
@attribute Nonflavanoid_phenols numeric
@attribute Proanthocyanins numeric
@attribute Color_intensity numeric
@attribute Hue numeric
@attribute OD280/OD315_of_diluted_wines numeric
@attribute Proline numeric

@data
1,1.514341,-0.560668,0.2314,-1.166303,1.908522,0.806722,1.031908,-0.657708,1.221438,0.251009,0.361158,1.842721,1.010159
1,0.245597,-0.498009,-0.825667,-2.483841,0.018094,0.567048,0.731565,-0.818411,-0.543189,-0.292496,0.404908,1.110317,0.962526
1,0.196325,0.021172,1.106214,-0.267982,0.08811,0.806722,1.212114,-0.497005,2.129959,0.268263,0.317409,0.786369,1.391224
1,1.686791,-0.345835,0.486554,-0.806975,0.9283,2.484437,1.462399,-0.979113,1.029251,1.182732,-0.426341,1.180741,2.328007
1,0.294868,0.227053,1.835226,0.450674,1.278379,0.806722,0.661485,0.226158,0.400275,-0.318377,0.361158,0.448336,-0.037767
1,1.477387,-0.515911,0.304301,-1.286079,0.858284,1.557699,1.362285,-0.175599,0.662349,0.729811,0.404908,0.335659,2.232741
1,1.711427,-0.417446,0.304301,-1.465743,-0.261969,0.327374,0.491291,-0.497005,0.67982,0.082781,0.273659,1.363842,1.724655
1,1.304936,-0.166807,0.88751,-0.567423,1.488427,0.487157,0.48128,-0.416654,-0.595603,-0.00349,0.448658,1.363842,1.740533
1,2.253415,-0.623328,-0.716315,-1.645408,-0.191954,0.806722,0.951817,-0.577356,0.67982,0.061213,0.536158,0.335659,0.946649
1,1.058578,-0.882918,-0.35181,-1.046527,-0.121938,1.09433,1.122011,-1.139816,0.45269,0.932547,0.229909,1.321588,0.946649
1,1.354208,-0.157856,-0.242458,-0.447646,0.368173,1.046395,1.292205,-1.139816,1.378682,0.298458,1.279908,0.786369,2.423273
1,1.378844,-0.76655,-0.169557,-0.806975,-0.331985,-0.151973,0.401188,-0.818411,-0.036514,-0.025057,0.929908,0.293405,1.6929
1,0.923081,-0.542765,0.158499,-1.046527,-0.75208,0.487157,0.731565,-0.577356,0.382804,0.233755,0.842408,0.406082,1.819921
1,2.154872,-0.542765,0.085597,-2.423952,-0.612049,1.286069,1.662628,0.547563,2.129959,0.147484,1.279908,0.166643,1.28008
1,1.699109,-0.417446,0.049147,-2.244288,0.158126,1.605634,1.612571,-0.577356,2.392033,1.053326,1.061158,0.546929,2.540768
1,0.775267,-0.471154,1.215566,-0.687199,0.858284,0.886613,0.881737,-0.497005,-0.228701,0.967055,1.411158,0.377913,1.788166
1,1.600566,-0.372689,1.288467,0.151234,1.418411,0.806722,1.111999,-0.255951,0.662349,0.492567,0.492408,0.053965,1.6929
1,1.021625,-0.685988,0.923961,0.151234,1.068331,1.046395,1.372297,0.306509,0.22556,0.665108,0.754908,-0.058713,1.216569
1,1.465069,-0.668085,0.413653,-0.896807,0.578221,1.605634,1.902902,-0.336302,0.470162,1.57095,1.192408,0.293405,2.963114
1,0.787585,0.683574,0.705257,-1.286079,1.138347,0.646939,1.001874,-1.541573,0.12073,0.018078,0.011159,1.053978,0.311541
1,1.304936,-0.632279,-0.315359,-1.046527,1.838506,1.126287,1.142034,-0.979113,0.889479,0.255322,0.579908,1.546943,0.105132
1,-0.086987,1.31017,1.033313,-0.267982,0.158126,0.18357,0.381165,-0.898762,0.67982,-0.240734,0.317409,1.279334,0.073376
1,0.87381,-0.426398,-0.023754,-0.866863,0.08811,0.503135,0.851702,-0.738059,0.173145,-0.542681,0.667408,1.955399,0.914893
1,-0.18553,-0.659133,0.559455,-0.507534,-0.331985,0.295418,0.34112,-0.818411,-0.228701,-0.486605,0.579908,1.434265,0.851383
1,0.615134,-0.471154,0.88751,0.151234,-0.261969,0.375309,0.581394,-0.657708,0.12073,-0.66346,0.711158,1.701875,0.311541
1,0.060828,-0.256321,3.110996,1.648436,1.698474,0.535092,0.651474,0.868969,0.574991,-0.637579,0.754908,0.828623,0.263908
1,0.479637,-0.50696,0.923961,-1.016583,-0.472017,0.886613,0.911771,-0.175599,-0.246172,-0.111328,-0.163841,0.856793,1.422979
1,0.368776,-0.551717,-0.825667,-0.747087,-0.402001,0.167592,0.160914,-0.738059,-0.420888,-0.477978,0.273659,0.222981,1.708777
1,1.070896,-0.390592,1.580071,-0.02843,0.508205,1.046395,0.941805,0.065455,0.295446,-0.240734,1.279908,1.110317,0.533829
1,1.255665,-0.587522,-0.570513,-1.046527,-0.261969,0.567048,0.301074,-0.818411,0.67982,-0.154463,0.361158,1.377926,0.914893
1,0.898446,-0.748647,1.215566,0.899835,0.08811,1.126287,1.222125,-0.577356,1.378682,0.27689,1.017408,0.138473,1.708777
1,0.713677,-0.605425,-0.023754,-0.118262,0.438189,0.902591,1.162057,-1.139816,0.627406,0.794514,0.579908,0.377913,2.439151
1,0.836856,-0.453252,-0.023754,-0.687199,0.298157,0.199549,0.661485,0.467212,0.662349,-0.525427,1.192408,0.363828,0.771994
1,0.935399,-0.721793,1.215566,0.001514,2.258601,1.046395,0.711542,1.110023,-0.420888,0.147484,1.279908,0.546929,1.55
1,0.627452,-0.480106,1.033313,-0.148206,0.718252,0.087701,0.501302,-0.577356,-0.088928,-0.37014,0.623658,0.363828,1.105425
